episode,dataset,dataset_name,task_id,dataset_id,split_type,reward,loss,epsilon,f1,pipeline,invalid_count,pipeline_length,cache_hit
132,pc4,pc4,3902,1049,train,0.6373052787006275,0.017095312010496855,0.5134164023722473,0.6973052787006275,"['standard_scaler', 'pca', 'random_forest']",0,3,False
133,vowel,vowel,3022,307,train,0.7258020885840435,0.013920657879983386,0.510849320360386,0.7658020885840435,"['standard_scaler', 'svm']",0,2,False
134,mfeat-pixel,mfeat-pixel,146824,40979,train,0.9422922433914129,0.013661711476743221,0.5082950737585841,0.982292243391413,"['standard_scaler', 'knn']",0,2,False
135,cylinder-bands,cylinder-bands,14954,6332,train,0.6607215007215008,0.014039717925091585,0.5057535983897912,0.7007215007215009,"['standard_scaler', 'svm']",0,2,False
136,ozone-level-8hr,ozone-level-8hr,9978,1487,train,0.6017650962176508,0.015024383086711168,0.5032248303978422,0.6217650962176509,['random_forest'],0,1,True
137,semeion,semeion,9964,1501,train,0.8590727982453661,0.013436592339227596,0.500708706245853,0.8990727982453661,"['minmax_scaler', 'knn']",0,2,False
138,first-order-theorem-proving,first-order-theorem-proving,9985,1475,train,0.48185933937223024,0.009901995537802577,0.4982051627146237,0.5018593393722303,['random_forest'],0,1,True
139,kr-vs-kp,kr-vs-kp,3,3,train,0.9716352552468706,0.016198030672967434,0.49571413690105054,0.9916352552468706,['random_forest'],0,1,False
140,mfeat-morphological,mfeat-morphological,18,18,train,0.5686525498832455,0.01238364614546299,0.4932355662165453,0.6486525498832456,"['minmax_scaler', 'pca', 'feature_selection', 'knn']",0,4,False
141,jungle_chess_2pcs_raw_endgame_complete,jungle_chess_2pcs_raw_endgame_complete,167119,41027,train,0.641447182507362,0.008590015582740307,0.4907693883854626,0.681447182507362,"['feature_selection', 'knn']",0,2,False
142,wdbc,wdbc,9946,1510,train,0.8458830341632888,0.013566280994564296,0.4883155414435353,0.9258830341632889,"['standard_scaler', 'pca', 'feature_selection', 'random_forest']",0,4,False
143,satimage,satimage,2074,182,train,0.8827900918802077,0.013417990412563086,0.4858739637363176,0.9027900918802078,['random_forest'],0,1,False
144,banknote-authentication,banknote-authentication,10093,1462,train,0.9104265342365239,0.008833503583446145,0.483444593917636,0.9704265342365239,"['standard_scaler', 'pca', 'random_forest']",0,3,False
145,balance-scale,balance-scale,11,11,train,0.5332008431195423,0.015955602439741295,0.4810273709480478,0.5732008431195423,"['minmax_scaler', 'random_forest']",0,2,False
146,analcatdata_authorship,analcatdata_authorship,3549,458,train,0.9700686168291802,0.011042704805731773,0.47862223409330756,0.9900686168291802,['random_forest'],0,1,False
147,jm1,jm1,3904,1053,train,0.45656662119145064,0.021433795802295208,0.47622912292284103,0.47656662119145066,['svm'],0,1,False
148,texture,texture,125922,40499,train,0.9550832992800269,0.009251708397641778,0.4738479773082268,0.9750832992800269,['random_forest'],0,1,False
149,splice,splice,45,46,train,0.9139648601916311,0.015120959840714931,0.47147873742168567,0.9539648601916312,"['minmax_scaler', 'random_forest']",0,2,False
150,mfeat-zernike,mfeat-zernike,22,22,train,0.8019942340973475,0.01367600285448134,0.46912134373457726,0.8219942340973475,['svm'],0,1,False
151,sick,sick,3021,38,train,0.4642041312272175,0.013088908977806568,0.46677573701590436,0.4842041312272175,['svm'],0,1,False
152,climate-model-simulation-crashes,climate-model-simulation-crashes,146819,40994,train,0.5417816091954023,0.009478502441197634,0.46444185833082485,0.5617816091954023,['svm'],0,1,False
153,cmc,cmc,23,23,train,0.4312155550693457,0.010825937730260193,0.46211964903917074,0.4912155550693457,"['pca', 'minmax_scaler', 'svm']",0,3,False
154,bank-marketing,bank-marketing,14965,1461,train,0.6138365588808482,0.012775412295013666,0.4598090507939749,0.6538365588808482,"['feature_selection', 'knn']",0,2,False
155,eucalyptus,eucalyptus,2079,188,train,0.35341233342087786,0.0110859964042902,0.457510005540005,0.41341233342087785,"['feature_selection', 'pca', 'random_forest']",0,3,False
156,credit-g,credit-g,31,31,train,0.46743386243386237,0.010623462963849306,0.45522245551230495,0.4874338624338624,['svm'],0,1,False
157,nomao,nomao,9977,1486,train,0.9399563281918575,0.01373889297246933,0.4529463432347434,0.9599563281918575,['random_forest'],0,1,False
158,PhishingWebsites,PhishingWebsites,14952,4534,train,0.910086528348476,0.014693033260603746,0.4506816115185697,0.9500865283484761,"['minmax_scaler', 'knn']",0,2,False
159,Fashion-MNIST,Fashion-MNIST,146825,40996,train,0.8320082835895705,0.010926383547484875,0.4484282034609769,0.8520082835895705,['knn'],0,1,False
160,GesturePhaseSegmentationProcessed,GesturePhaseSegmentationProcessed,14969,4538,train,0.4962302511400314,0.011458461172878742,0.446186062443672,0.5362302511400314,"['feature_selection', 'knn']",0,2,False
161,letter,letter,6,6,train,0.867354742730172,0.01067747874185443,0.4439551321314536,0.927354742730172,"['pca', 'feature_selection', 'knn']",0,3,False
162,dna,dna,167140,40670,train,0.9075867284907407,0.01702548749744892,0.4417353564707963,0.9475867284907408,"['feature_selection', 'svm']",0,2,False
163,mfeat-karhunen,mfeat-karhunen,16,16,train,0.962266485276634,0.009264289401471615,0.43952667968844233,0.9822664852766341,['svm'],0,1,True
164,churn,churn,167141,40701,train,0.3860214210537178,0.013356810808181763,0.43732904629000013,0.46602142105371774,"['pca', 'feature_selection', 'minmax_scaler', 'knn']",0,4,False
165,wall-robot-navigation,wall-robot-navigation,9960,1497,train,0.814416685308687,0.011468506883829832,0.4351424010585501,0.8344166853086871,['knn'],0,1,False
166,MiceProtein,MiceProtein,146800,40966,train,0.8761057514845806,0.00886447075754404,0.43296668905325736,0.8961057514845806,['knn'],0,1,False
167,connect-4,connect-4,146195,40668,train,0.6031804832812043,0.007111038779839873,0.43080185560799106,0.6231804832812043,['random_forest'],0,1,False
168,CIFAR_10,CIFAR_10,167124,40927,train,0.3033131798032224,0.017120302189141512,0.4286478463299511,0.32331317980322244,['knn'],0,1,True
169,dresses-sales,dresses-sales,125920,23381,train,0.5875283957570637,0.008738046977669,0.42650460709830135,0.6075283957570637,['svm'],0,1,False
170,isolet,isolet,3481,300,train,0.869801282532608,0.013967286329716444,0.42437208406280985,0.889801282532608,['knn'],0,1,False
171,Devnagari-Script,Devnagari-Script,167121,40923,train,0.8595804629301949,0.008547329964737097,0.4222502236424958,0.8995804629301949,"['standard_scaler', 'random_forest']",0,2,False
172,segment,segment,146822,40984,train,0.7063593415196645,0.013198105618357658,0.42013897252428334,0.7263593415196645,['svm'],0,1,False
173,ilpd,ilpd,9971,1480,train,0.3951785714285714,0.005925445817410946,0.4180382776616619,0.4151785714285714,['svm'],0,1,False
174,numerai28.6,numerai28.6,167120,23517,train,0.4997472869470382,0.010049642296507955,0.4159480862733536,0.5197472869470382,['svm'],0,1,False
175,wilt,wilt,146820,40983,train,0.466078338839075,0.02098220307379961,0.41386834584198684,0.48607833883907503,['svm'],0,1,False
176,mfeat-factors,mfeat-factors,12,12,train,0.931167646065057,0.018008895684033632,0.4117990041127769,0.951167646065057,['knn'],0,1,False
177,blood-transfusion-service-center,blood-transfusion-service-center,10101,1464,train,0.4387336782458734,0.01722867600619793,0.40974000909221303,0.4587336782458734,['svm'],0,1,False
178,adult,adult,7592,1590,train,0.7692875583366886,0.016890432219952345,0.40769130904675194,0.7892875583366886,['random_forest'],0,1,True
179,mfeat-fourier,mfeat-fourier,14,14,train,0.7780415409974837,0.008804670185782015,0.40565285250151817,0.8380415409974837,"['pca', 'feature_selection', 'knn']",0,3,False
180,jungle_chess_2pcs_raw_endgame_complete,jungle_chess_2pcs_raw_endgame_complete,167119,41027,train,0.7002702369747347,0.012088951654732227,0.4036245882390106,0.7202702369747347,['random_forest'],0,1,False
181,PhishingWebsites,PhishingWebsites,14952,4534,train,0.937478248751719,0.007687305798754096,0.4016064652978155,0.957478248751719,['svm'],0,1,True
182,mfeat-zernike,mfeat-zernike,22,22,train,0.7772077101672421,0.00795152597129345,0.3995984329713264,0.8172077101672421,"['minmax_scaler', 'knn']",0,2,False
183,wilt,wilt,146820,40983,train,0.466078338839075,0.012417950667440891,0.3976004408064698,0.48607833883907503,['svm'],0,1,True
184,Internet-Advertisements,Internet-Advertisements,167125,40978,train,0.7626937689969605,0.013606822583824396,0.39561243860243744,0.7826937689969605,['svm'],0,1,True
185,nomao,nomao,9977,1486,train,0.9047308909995476,0.010286095862587294,0.3936343764094253,0.9447308909995477,"['pca', 'svm']",0,2,False
186,bank-marketing,bank-marketing,14965,1461,train,0.679741338511435,0.016353476482133072,0.39166620452737816,0.7197413385114351,"['feature_selection', 'random_forest']",0,2,False
