status,error,task_id,dataset_id,dataset_name,split_type,n_samples,n_features,n_classes,missing_values,numeric_features,symbolic_features,preprocessed_n_features,split_source,train_samples,val_samples,test_samples
loaded,,3913,1063,kc2,train,522,21,2,0,21,0,21,openml_task_fold_0,351,118,53
loaded,,3918,1068,pc1,train,1109,21,2,0,21,0,21,openml_task_fold_0,748,250,111
loaded,,7592,1590,adult,train,48842,14,2,6465,6,8,105,openml_task_fold_0,32967,10990,4885
loaded,,9946,1510,wdbc,train,569,30,2,0,30,0,30,openml_task_fold_0,384,128,57
loaded,,9960,1497,wall-robot-navigation,train,5456,24,4,0,24,0,24,openml_task_fold_0,3682,1228,546
loaded,,9964,1501,semeion,train,1593,256,10,0,256,0,256,openml_task_fold_0,1074,359,160
loaded,,9971,1480,ilpd,train,583,10,2,0,9,1,11,openml_task_fold_0,393,131,59
loaded,,9977,1486,nomao,train,34465,118,2,0,89,29,174,openml_task_fold_0,23263,7755,3447
loaded,,9978,1487,ozone-level-8hr,train,2534,72,2,0,72,0,72,openml_task_fold_0,1710,570,254
loaded,,9981,1468,cnae-9,train,1080,856,9,0,856,0,856,openml_task_fold_0,729,243,108
loaded,,9985,1475,first-order-theorem-proving,train,6118,51,6,0,51,0,51,openml_task_fold_0,4129,1377,612
loaded,,10093,1462,banknote-authentication,train,1372,4,2,0,4,0,4,openml_task_fold_0,925,309,138
loaded,,10101,1464,blood-transfusion-service-center,train,748,4,2,0,4,0,4,openml_task_fold_0,504,169,75
loaded,,14952,4534,PhishingWebsites,train,11055,30,2,0,0,30,68,openml_task_fold_0,7461,2488,1106
loaded,,14954,6332,cylinder-bands,train,540,37,2,999,18,19,153,openml_task_fold_0,364,122,54
loaded,,14965,1461,bank-marketing,train,45211,16,2,0,7,9,51,openml_task_fold_0,30516,10173,4522
loaded,,14969,4538,GesturePhaseSegmentationProcessed,train,9873,32,5,0,32,0,32,openml_task_fold_0,6663,2222,988
loaded,,14970,1478,har,train,10299,561,6,0,561,0,561,openml_task_fold_0,6951,2318,1030
loaded,,125920,23381,dresses-sales,train,500,12,2,835,1,11,142,openml_task_fold_0,337,113,50
loaded,,125922,40499,texture,train,5500,40,11,0,40,0,40,openml_task_fold_0,3712,1238,550
loaded,,146195,40668,connect-4,train,67557,42,3,0,0,42,126,openml_task_fold_0,45600,15201,6756
loaded,,146800,40966,MiceProtein,train,1080,77,8,1396,77,0,77,openml_task_fold_0,729,243,108
loaded,,146819,40994,climate-model-simulation-crashes,train,540,18,2,0,18,0,18,openml_task_fold_0,364,122,54
loaded,,146820,40983,wilt,train,4839,5,2,0,5,0,5,openml_task_fold_0,3266,1089,484
loaded,,146821,40975,car,train,1728,6,4,0,0,6,21,openml_task_fold_0,1166,389,173
loaded,,146822,40984,segment,train,2310,16,7,0,16,0,16,openml_task_fold_0,1559,520,231
loaded,,146824,40979,mfeat-pixel,train,2000,240,10,0,240,0,240,openml_task_fold_0,1350,450,200
loaded,,146825,40996,Fashion-MNIST,train,70000,784,10,0,784,0,784,openml_task_fold_0,47250,15750,7000
loaded,,167119,41027,jungle_chess_2pcs_raw_endgame_complete,train,44819,6,3,0,6,0,6,openml_task_fold_0,30252,10085,4482
loaded,,167120,23517,numerai28.6,train,96320,21,2,0,21,0,21,openml_task_fold_0,65016,21672,9632
loaded,,167121,40923,Devnagari-Script,train,92000,1024,46,0,1024,0,1024,openml_task_fold_0,62100,20700,9200
loaded,,167124,40927,CIFAR_10,train,60000,3072,10,0,3072,0,3072,openml_task_fold_0,40500,13500,6000
loaded,,167125,40978,Internet-Advertisements,train,3279,1558,2,0,3,1555,3113,openml_task_fold_0,2213,738,328
loaded,,167140,40670,dna,train,3186,180,3,0,0,180,360,openml_task_fold_0,2150,717,319
loaded,,167141,40701,churn,train,5000,20,2,0,16,4,33,openml_task_fold_0,3375,1125,500
loaded,,28,28,optdigits,test,5620,64,10,0,64,0,64,stratified_random,3372,1124,1124
loaded,,32,32,pendigits,test,10992,16,10,0,16,0,16,openml_task_fold_0,7419,2473,1100
loaded,,37,37,diabetes,test,768,8,2,0,8,0,8,stratified_random,460,154,154
loaded,,43,44,spambase,test,4601,57,2,0,57,0,57,openml_task_fold_0,3105,1035,461
loaded,,53,54,vehicle,test,846,18,4,0,18,0,18,openml_task_fold_0,570,191,85
loaded,,3903,1050,pc3,test,1563,37,2,0,37,0,37,openml_task_fold_0,1054,352,157
loaded,,3917,1067,kc1,test,2109,21,2,0,21,0,21,openml_task_fold_0,1423,475,211
loaded,,9910,4134,Bioresponse,test,3751,1776,2,0,1776,0,1776,openml_task_fold_0,2531,844,376
loaded,,9952,1489,phoneme,test,5404,5,2,0,5,0,5,openml_task_fold_0,3647,1216,541
loaded,,9957,1494,qsar-biodeg,test,1055,41,2,0,41,0,41,openml_task_fold_0,711,238,106
loaded,,9976,1485,madelon,test,2600,500,2,0,500,0,500,openml_task_fold_0,1755,585,260
loaded,,146817,40982,steel-plates-fault,test,1941,27,7,0,27,0,27,openml_task_fold_0,1309,437,195
